Volume;MaximumRainfallIntensity;Runoff;RunoffVolume;MaximumRunoffIntensity;P-0;HR-1;HR-2;HR-3;HR-4;HR-5;T-1;T-2;T-3;T-4;T-5;PB-1;PB-2;PB-3;PB-4;PB-5;VV-1;VV-2;VV-3;VV-4;VV-5
4.1;1.4;0;0;0;0.8;79;75;81;90;89;4.9;4.6;3.4;1.5;1.1;944;945;946;947;947;1.62;0.77;0.8;0.89;0.88
1.6;0.7;0;0;0;0.1;96;96;95;96;95;4.5;4.4;4.5;4.4;4.2;939;940;941;941;941;0.72;0.77;0.67;0.73;1.04
0.1;0.1;0;0;0;0.1;75;68;63;54;53;7;7.7;7.9;8.9;8.7;943;943;943;944;945;2.05;1.91;2.14;2.15;2.01
3.6;1.2;0;0;0;0.9;81;62;46;40;40;6.8;8;9.5;9.8;10.3;939;939;939;939;940;1.94;1.9;2.17;2.19;2.2
0.1;0.1;0;0;0;0.1;99;99;99;98;97;7.1;6.7;6.4;6.2;6.2;935;935;936;936;937;2.24;2.03;1.94;1.82;1.97
1.3;1.1;0;0;0;1.1;84;83;84;79;80;10.3;10.7;11.1;11.4;11.8;930;930;930;930;930;3.82;4.04;3.45;3.86;3.55
0.1;0.1;0;0;0;0.1;57;63;66;69;68;9.1;7.6;6.3;5.4;5.1;949;949;949;949;948;1.78;1.88;0.9;0.66;0.64
0.1;0.1;0;0;0;0.1;48;52;57;63;66;11.7;10.3;9.1;7.6;6.3;948;949;949;949;949;1.83;1.98;1.78;1.88;0.9
0.1;0.1;0;0;0;0.1;39;37;36;39;42;14.7;15.5;15.5;15.1;14;946;946;946;946;947;0.66;1.02;1.45;1.14;1.46
0.1;0.1;0;0;0;0.1;54;49;44;39;37;10.6;12;13.1;14.7;15.5;947;947;947;946;946;0.56;0.63;0.58;0.66;1.02
0.1;0.1;0;0;0;0.1;54;58;71;80;81;10.9;9.4;6;3.6;3.5;953;953;953;952;951;1.29;1.04;0.69;0.71;0.7
0.1;0.1;0;0;0;0.1;39;40;43;46;50;16.3;16.2;15.5;14.1;12.5;952;952;952;953;953;1.27;1.31;1.08;1.16;1.22
2.9;2.6;0;0;0;2.6;32;35;39;42;48;17.6;17.4;16.2;14.9;12.6;956;956;957;957;957;1.31;1.23;1.3;1.02;1.24
0.3;0.3;0;0;0;0.3;72;71;71;69;68;2.6;3;2.9;3.6;4.1;960;960;960;960;960;0.71;0.71;0.7;0.62;0.69
0.8;0.7;0;0;0;0.7;17;18;20;26;31;20.2;19.7;19.1;18;16.6;958;958;959;959;960;1.24;1.26;1.29;1.18;0.92
2.4;0.9;0;0;0;0.3;65;65;64;63;60;5;5.1;5.9;6.3;7.3;957;957;957;957;957;0.72;0.75;0.81;0.71;0.7
3.5;1.9;0;0;0;0.1;59;56;51;47;42;7.5;8.5;9.9;11.4;13.2;961;961;960;960;959;0.73;0.77;0.7;0.75;0.66
1.4;0.9;0;0;0;0.4;37;39;45;57;72;16.2;15.3;12.8;8.7;4.5;960;961;961;961;960;1.38;0.83;0.87;0.63;0.69
1.8;1.3;0;0;0;0.3;30;27;27;29;31;19.1;20.3;20.8;19.8;19.2;957;957;957;958;959;0.64;0.93;1.08;1.32;1.26
0.1;0.1;0;0;0;0.1;36;47;61;63;61;12.2;8.9;4.2;3.8;4.6;958;958;957;957;957;1.28;0.69;0.69;0.7;0.65
2.6;0.8;0;0;0;0.4;46;48;55;61;78;17.6;16.4;13.8;11.5;6.7;959;959;960;960;959;1.11;0.99;1.12;0.81;0.64
4.9;0.8;0;0;0;0.1;54;59;61;70;72;15.3;14.4;14;11.2;10;959;959;959;958;957;2.49;2.6;1.76;1.33;0.64
7.1;0.9;0;0;0;0.1;37;37;41;46;64;17.9;16.7;14.5;12.3;7.5;955;956;956;957;957;1.37;1.03;0.86;0.66;0.65
0.1;0.1;0;0;0;0.1;64;65;62;61;59;10.8;11.1;11.5;11.8;12.6;952;952;952;952;952;1.4;2.23;2.43;2.07;1.75
15.8;2.8;1;2.9;0.97;0.2;63;63;64;65;62;9.9;10.5;10.8;11.1;11.5;952;952;952;952;952;0.72;0.93;1.4;2.23;2.43
0.1;0.1;0;0;0;0.1;45;38;36;35;35;9;10.8;11.2;11.6;12.1;958;958;957;957;957;0.73;0.94;0.82;1.33;1.62
2.4;0.7;0;0;0;0.3;40;44;59;68;67;11.6;10.3;6.2;3.3;3.3;959;959;959;958;958;1.04;0.85;0.57;0.65;0.77
1.6;0.9;0;0;0;0.7;67;65;63;59;55;5.7;6.2;6.9;7.8;8.9;955;955;955;955;955;0.7;0.63;0.66;0.6;0.63
0.2;0.1;0;0;0;0.1;26;24;28;32;35;19.6;20.2;19.3;17.6;16.9;951;952;953;954;955;1.65;2.31;2.13;2.83;2.18
0.4;0.2;0;0;0;0.2;29;28;27;26;24;18.7;19.6;19.3;19.6;20.2;951;951;951;951;952;1.65;1.41;1.58;1.65;2.31
0.8;0.8;0;0;0;0.8;38;36;32;29;28;15.6;16.7;17.5;18.7;19.6;953;952;951;951;951;1.03;1.14;1.47;1.65;1.41
0.1;0.1;0;0;0;0.1;40;52;61;59;59;15.8;11.4;8.6;9.3;9.6;954;953;953;953;952;0.77;0.61;0.63;0.59;0.57
0.3;0.3;0;0;0;0.3;19;24;29;33;37;20.8;19.4;17.9;16.8;16.1;951;952;952;953;953;2.02;2.05;2.09;2.25;1.87
5.5;1.2;0;0;0;0.8;26;23;20;20;21;17.3;19.3;20.9;21.6;21.1;950;950;949;950;950;0.56;0.68;1.04;1.66;2.08
